Ageyears,Data_Value,Class,Question
 ,43.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,24.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,40,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,36.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,46.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,18.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,11.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,40.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,20.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,31.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,41.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,21.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,40.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,14.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,28,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,32.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,48.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,21.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,43.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64, ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,20.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,14.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,13.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,19.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,32.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,24.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,23.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,15.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,19.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,22.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,19.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,20.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,40.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,20,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,9.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,22.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,38.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,54.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,53.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.2,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
45 - 54,25.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24, ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,28,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,45.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,41.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,31.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,14.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,16.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,25,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,36.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,39.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64, ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,22.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,29.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,25.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,14.2,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,30.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,43.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,42.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,17.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,14.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,35.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,40.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,15.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,11.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,36.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,37.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,20,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,21,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,40.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,36.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,38.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,31.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,20.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,10.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,12.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,21.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,34.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,38.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,35,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,20.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,34.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,21.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,19.8,Fruits and Vegetables,Percent of adults who report consuming vegetables less than one time daily
 ,17.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,23.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,18.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,24.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,41,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,16.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,36.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,21.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,14.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,44.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,21.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,15.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,44.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,23.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,54.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,28.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,34.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,43.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,23.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,39.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,27.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,39.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,22.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,28.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,44,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,36.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,39.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,23.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,29.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,24.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,27.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,16.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,24.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,21,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,20,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,18.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,33.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,39.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,22,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,29.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,29.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,16.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,16.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,25.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,14.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,13.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
